dpt,lon,lat
02,3.5602630883934028,49.563828268026306
10,4.1612531082166955,48.305576155190394
14,-0.3633480760056112,49.100144387603386
15,2.6690610132102486,45.052161273453564
28,1.3697134725870763,48.38957324130251
35,-1.6377521789537854,48.156599965099225
39,5.697222110924518,46.731278572711204
40,-0.7836111001278111,43.967394704302215
42,4.16390485474409,45.72991178605208
45,2.3438928523790166,47.91300937192235
47,0.46081002727770315,44.36874309879009
55,5.381248181024482,48.993714154212086
61,0.12709832033581983,48.62372631537783
62,2.285023674905275,50.49537253468354
63,3.1399321973920644,45.727079807103564
67,7.552228255966631,48.67312138676419
68,7.273858722830617,47.86059479011849
76,1.0277526807274522,49.65564105958181
89,3.5627169709466133,47.84216973143002
93,2.477729550313234,48.91768462675797
04,6.245178747202661,44.10745377671278
05,6.265532574430019,44.66485298311875
07,4.426068328182202,44.754372110538256
08,4.640761939585177,49.61723766209686
09,1.5036016703344288,42.921618918827754
17,-0.6801533429098988,45.777637800721074
19,1.877802167597846,45.358315410262115
24,0.741111700617264,45.10662829501866
27,0.9963600778114567,49.11479926222096
37,0.6909455851762469,47.25972948346985
48,3.499404478873565,44.51845907747359
58,3.5037850553155243,47.11717169964453
60,2.4251298038357105,49.41070010579922
64,-0.7617325270342862,43.25721004274689
69,4.640566131408316,45.87219205139806
71,4.543124964636783,46.64623836123206
75,2.342192395321429,48.85647749713486
78,1.8409882188538917,48.816122238151785
81,2.16531209526437,43.786658308676785
82,1.2822524467225698,44.08637279986013
83,6.244757906944197,43.442673568386354
85,-1.298926408621547,46.67593831808647
87,1.234450447958216,45.8936290877753
88,6.380223530091415,48.19694922125673
92,2.2458656277637057,48.84699487583747
03,3.1871330425795157,46.3945251830084
06,7.116140165313921,43.93896888956281
11,2.4137661743016436,43.10406217808529
2A,8.987342304886992,41.86545833083191
22,-2.865306891644335,48.4415956038347
23,2.01791117332319,46.09144636212345
25,6.363136658981006,47.1670403558396
29,-4.059690168630709,48.263511448238475
30,4.17976730305999,43.9946023997305
33,-0.5836836007124012,44.84140914988082
36,1.5761252073498533,46.779522367953206
38,5.573276525270698,45.26590341123471
51,4.238595056526825,48.950779619172536
52,5.225078451531665,48.112555871307855
57,6.66044566663754,49.03899600092734
65,0.1639658237383081,43.0546435862567
66,2.522641044516487,42.60015248958863
73,6.442279414148374,45.47860033702023
74,6.428730117361639,46.03565564761514
77,2.9340818885316926,48.629204214619655
84,5.176920784714676,44.0078453096526
86,0.45890616281895436,46.56680086799613
94,2.469067474695498,48.777708208756316
01,5.348628108908422,46.100811134468934
12,2.6777889202982244,44.28293819927199
13,5.084851174832091,43.5461582871718
16,0.20372714229374592,45.71996480707776
18,2.4913330633446926,47.0679805254121
2B,9.206133274236317,42.39605063056598
21,4.771138907770364,47.427647685035026
26,5.167059215922182,44.687661838829534
31,1.1761263906725197,43.360738677120516
32,0.45277363075073696,43.69369488143114
34,3.369066991841753,43.58011572685259
43,3.8061528369717164,45.12873438026165
44,-1.6842589214815897,47.362653785442454
46,1.6058148755632733,44.625672878651656
49,-0.5642051993254772,47.39232363269547
50,-1.3307219904153393,49.08514843255562
56,-2.8112929956710895,47.84860608013587
59,3.2123922386754264,50.450453330702175
70,6.087501551817028,47.64202396994894
72,0.2226748169216273,47.996159167709614
80,2.2752182490670587,49.95888511752493
91,2.2431229158402863,48.52302469088057
95,2.130975488745556,49.082707826457046
41,1.427034719699035,47.61825186507599
53,-0.6572057421377999,48.14851777462387
54,6.160502744998412,48.791736337321865
79,-0.31813238188863535,46.55899020069773
90,6.92822475538799,47.63219150507937
